property_name,link,society,price,areaWithType,address,floorNumAllowed,noOfOpenSides,possession,nearbyLocations,description,features,rating,property_id
Residential land / Plot in Sector 112 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-112-gurgaon-140-sq-yard-spid-I68631830,True Habitat 112,1.82 Crore,(117 sq.m.) Plot Area,"123, Sector 112 Gurgaon, Gurgaon, Haryana",,2,,"['Palam Vihar Vyapar kendra', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', 'Kalyan Hospital Gurgaon', 'DGD Bamnoli', 'Axis bank', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Palam vihar railway station']",This is upcoming ddjay plot in sector 112 of gurgaon. This project provides plots of varying sizes. The minimum plot size is 140 square yards.Call for further information,[['Water Storage']],"[['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety3 out of 5']]",I68631830
Residential land / Plot in Palam Vihar,https://www.99acres.com/residential-land-plot-for-sale-in-palam-vihar-gurgaon-173-sq-yard-r7-spid-O58664692,,2.39 Crore,(145 sq.m.) Plot Area,"Palam Vihar, Gurgaon, Haryana",,1,Immediate,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']","This is a residential plot of 173 sq. Yards in lush green area of palam vihar, gurgaon. Facing south-East on 12 meter wide road. All the basic amenities like school, hospital, shopping complex, ansal plaza mall, atm, banks etc. Nearby. The price is very competitive. Direct party meeting, clear title deal.We have many more options available in sizes from 173 sq. Yard to 1200 sq. Yards.Please contact for more details and site visit.",[['Feng Shui / Vaastu Compliant']],"[['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']]",O58664692
Residential land / Plot in Sector 57 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-57-gurgaon-347-sq-yard-spid-J69869972,,4.85 Crore,(290 sq.m.) Plot Area,"Sector 57 Gurgaon, Gurgaon, Haryana",3 Floors,1,Immediate,"['Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'State bank ATM', 'Icici bank ATM', 'Standard chartered ATM', 'Vatsalya Clinic', 'Anand Hospital Gurgaon', 'Kriti Hospital', 'Surgicare Hospital Gurgaon', 'pracksht hospital', 'Meher Clinic', 'Bones Clinic - Orthopaedics', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Neelkanth Health Care', 'Dr. Naresh Pandita', 'Arihant Hospital', 'Dr. Anuj Sharma', 'Wembley estate club', 'HUDA Office Complex', 'Medisca', 'Pernod Ricard Charitable Dispensary', 'SPAZE BUSINESS PARK', 'Unitech', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank', 'Hdfc bank and atm', 'Hdfc bank', '222', 'Pizza Hut', 'Madison and Pike', 'India', 'Haldiram', 'Raj Restaurant', 'Gurugram University', 'Kamla International', 'Amity Global School', 'St. Angels Sr', 'Manav Rachna School', 'Delhi Public School Primary Section', 'IILM', 'St. Angels Jr', 'Iilm University', 'Manav Rachna Swimming Pool']",347 sqyds gau mukha plot sale in sector 57 gurgaon. Good location. Near to main road. Confirm deal.,"[['Feng Shui / Vaastu Compliant', 'Rain Water Harvesting']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",J69869972
Residential land / Plot in Sector-33 Sohna,https://www.99acres.com/residential-land-plot-for-sale-in-central-park-flower-valley-mikasa-plots-sector-33-sohna-gurgaon-250-sq-yard-r4-spid-X65966586,Central Park Flower Valley Mikasa Plots,3.75 Crore,(209 sq.m.) Plot Area,"Sector-33 Sohna, Gurgaon, Haryana",4 Floors,2,Immediate,"['Rapid Metro Sector 55-56', 'CBR Cricket Ground', 'Gurugram Public School', 'Swastik Multispeciality Hospital', 'IGI Airport', 'Lemon Tree Hotel', 'SCC Drive-In Cinema']","Hi, we have a residential plot available for sale in central park flower valley mikasa plots, sector 33, gurugram, haryana",[''],[''],X65966586
Residential land / Plot in Sector 23 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-rwa-east-pocket-sector-23-gurgaon-147-sq-yard-spid-M70074424,RWA East Pocket4.0 ★,2.57 Crore,(123 sq.m.) Plot Area,"Sector 23 Gurgaon, Gurgaon, Haryana",,1,,"['HUDA Sector 23 Market', 'Palam triangle', 'Palam Vihar Vyapar kendra', 'Ram Mandir', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', 'SP Infocity', 'HUDA sector 23 parking', 'Ansals Plaza above ground car parking', 'Ansals plaza underground car parking', 'Punjab national bank', 'Oriental bank of commerce', 'Axis bank', 'Big Cinemas', 'Om Sweets', 'Pind Baluchi', ""Domino's Pizza"", 'Moti Mahal', 'Pizza Hut', 'Cafe Coffee Day', ""McDonald's"", 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Masti ki Pathshala Teach India', 'Chiranjiv Bharati School', 'Palam vihar railway station', 'Bijwasan railway station']",147 sq yard size plot for sale of price 2.57 crore in sector 23 gurgaon. Please contact only buyer's.,[['Feng Shui / Vaastu Compliant']],"[['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']]",M70074424
Residential land / Plot in Sector 23 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-rwa-east-pocket-sector-23-gurgaon-502-sq-yard-spid-T69579912,RWA East Pocket4.0 ★,5.8 Crore,(420 sq.m.) Plot Area,"012345, Sector 23 Gurgaon, Gurgaon, Haryana",,1,,"['HUDA Sector 23 Market', 'Palam triangle', 'Palam Vihar Vyapar kendra', 'Ram Mandir', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', 'SP Infocity', 'HUDA sector 23 parking', 'Ansals Plaza above ground car parking', 'Ansals plaza underground car parking', 'Punjab national bank', 'Oriental bank of commerce', 'Axis bank', 'Big Cinemas', 'Om Sweets', 'Pind Baluchi', ""Domino's Pizza"", 'Moti Mahal', 'Pizza Hut', 'Cafe Coffee Day', ""McDonald's"", 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Masti ki Pathshala Teach India', 'Chiranjiv Bharati School', 'Palam vihar railway station', 'Bijwasan railway station']",Please contact only buyer's. 1 kanal plot for sale of prices 5.80 cr.,[['Rain Water Harvesting']],"[['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']]",T69579912
Residential land / Plot in Sector 52 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-52-gurgaon-342-sq-yard-spid-O69905380,,4.62 Crore,(286 sq.m.) Plot Area,"000, Sector 52 Gurgaon, Gurgaon, Haryana",,1,Immediate,"['Radhakrishna Shani Mandir', 'Hanuman Mandir', 'Sanatan Dharm Mandir', 'Hdfc ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'State bank ATM', 'Icici bank ATM', 'Anand Hospital Gurgaon', 'Arihant Hospital', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Paras Hospital Gurgaon', 'Gupta', 'HUDA Office Complex', 'Pernod Ricard Charitable Dispensary', 'Medisca', 'Heera Fuel Station', 'HCG CNG Station', 'Bharat petroleum', '222', 'Hdfc bank and atm', 'Hdfc bank & atm', 'Axis bank', 'Kotak mahindra bank', 'Indusind bank', 'Pizza Hut', 'Cafe Tonini', 'Wat-a-Burger', 'Clock tower', 'Burger Singh', 'Sagar Ratna', ""Carl's Jr."", 'Starbucks', 'Bikanerwala', 'Shophouse by Kylin', 'St. Angels Sr', 'Amity Global School', 'IILM', 'School of Inspired Leadership SOIL', 'Gurugram University', 'Stones2milestones', 'St. Angels Jr', 'Iilm University']",342 sq.Yrd.Plot in sector 52 gurgaon at reasonable price,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Rain Water Harvesting']]","[['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']]",O69905380
Residential land / Plot in Sector 108 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-experion-the-westerlies-sector-108-gurgaon-181-sq-yard-spid-A70134160,Experion The Westerlies,2.6 Crore,(151 sq.m.) Plot Area,"Sector 108 Gurgaon, Gurgaon, Haryana",3 Floors,2,Apr 2026,"['WTC Plaza', 'Euro Intl School, Sector- 109', 'The NorthCap University', 'The Shikshiyan School', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'DLF Corporate Park', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']",This property is very near to delhi border with vicinity having schools and shopping complex already functional .The small plots are already in high demand and very limited available .,[''],"[['Environment4 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5']]",A70134160
Residential land / Plot in Sector 108 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-experion-the-westerlies-sector-108-gurgaon-269-sq-yard-spid-E70072362,Experion The Westerlies,3.3 Crore,(225 sq.m.) Plot Area,"Sector 108 Gurgaon, Gurgaon, Haryana",,2,,"['WTC Plaza', 'Euro Intl School, Sector- 109', 'The NorthCap University', 'The Shikshiyan School', 'Aryan Hospital', 'Indira Gandhi Intl Airport', 'DLF Corporate Park', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']",This property is a gated community with already families have started living in .The property is well connected to delhi and gurgaon and to the airport within 30 minutes.,"[['Water Storage', 'Rain Water Harvesting']]","[['Environment4 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5']]",E70072362
Residential land / Plot in Sector 9A Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-9-a-gurgaon-200-sq-yard-spid-G70040940,,2.65 Crore,(167 sq.m.) Plot Area,"Sector 9A Gurgaon, Gurgaon, Haryana",,2,,"['Hanuman Mandir', 'Sharma Hospital Gurgaon', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Dr. Ajay S. Gupta Clinic', 'Aarvy Hospital', 'Rama Hospital & Nursing Home', 'Pasricha Hospital and Maternity Home', 'Gupta Hospital Gurgaon', 'Thakral Nursing and Maternity Home', 'Dr. Sandeep Chauhan', 'Nangia Hospital Ent and Maternity', 'Ahooja Eye and Dental Institute Hospital', 'Shubham Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Verma E.N.T. Hospital', 'Nova Care Clinic', 'Sethi Hospital Gurgaon', 'My Care Clinic', 'Tirath Ram Hospitals Pvt Ltd', 'M.S Hospital', 'Bindal Clinic', 'Vinayak Hospital Gurgaon', 'Dental Health Centre', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Lall Nursing and Maternity Home', 'Swastik Maternity and Medical Centre', 'Kharbanda Maternity and Nursing Home', 'Dentecare - Multispeciality Dental Clinic', 'Satyam Hospital Gurgaon', 'Parashar Hospital', 'Lalit Dental Care', 'M Goel Hospital', 'Kathuria Hospital', 'Chiranjiv Hospital', 'Kidney Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Lal Superspeciality Hospital', 'Dev Man Kathuria Clinic', 'Shri Gobind Hospital', 'Dr. Sarvejeet Singh', 'Ravi Clinic and Health Care Centre', 'Jackson Hospital', 'Dr. Madan Clinic', 'IBP Petrol Station', 'Indian Oil', 'Punjab national bank', 'govt sec school', 'Dronacharya Government College', 'District library gurgaon']","Sector.9a 200 sq yards corner plot 18 meter road near dwarka express way near 23 acre garden prime location sector.9a near market mandir more facilities available 
Rajpal properties 
Nitin rajpal",[['Water Storage']],"[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",G70040940
Residential land / Plot in Sector 91 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-91-gurgaon-348-sq-yard-r2-spid-F65017382,DLF Garden City Floors,4.12 Crore,(291 sq.m.) Plot Area,"Sector 91 Gurgaon, Gurgaon, Haryana",,1,,"['Yadav Clinic', 'Bangali Clinic', 'Dr. J. S. Sarkar Clinic', 'Sagar Clinic', 'Promla Clinic', 'Vijay Petrol Pump', 'HP Petrol Pump', 'Essar Petrol Pump', 'Indian Oil', 'Pizza Hut', 'KFC', ""Domino's Pizza""]","We have plot for sale in dlf garden city, sector-91, gurugram. 
Size - 348 sq. Yd. In 
Rate - 1.18 lakh per sq. Yd. 
Gated & secured township, 24 hr power backup,
With upcoming dlf club & dlf galleria commercial with multiplex, office, retails etc.
Registered / freehold plot, max land loan possible.
Please feel free to call us in case of any query","[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity3 out of 5', 'Safety4.5 out of 5']]",F65017382
Residential land / Plot in Sector 91 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-dlf-gardencity-sector-91-gurgaon-350-sq-yard-spid-O69882628,DLF Gardencity,4 Crore,(293 sq.m.) Plot Area,"B 55, Sector 91 Gurgaon, Gurgaon, Haryana",,1,,"['Reliance Trends Newtown Square Mall', 'IMT Road', 'National Highway 48', 'RPS International School', 'SGT University', 'Genesis Hospital', 'Indira Gandhi Intl Airport']","350 sq. Yard plot available for sale in dlf garden city , one of the best options for investment and end-Use property, it is a gated complex with all modern amenities, one the prominent location in the area, very well connected from dwarka expressway, nh 8, km, 
Multiutility corridor, please call for a visit for more information","[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity3 out of 5', 'Safety4.5 out of 5']]",O69882628
Residential land / Plot in Sector 73 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-dlf-alameda-sector-73-gurgaon-700-sq-yard-spid-C69869360,DLF Alameda,12.6 Crore,(585 sq.m.) Plot Area,"700 Sq Yds Plot On 24 Mtr Road, Sector 73 Gurgaon, Gurgaon, Haryana",,1,,"['Raheja Mall', 'Captain Chandan Lal Marg', 'Badshahpur Sohna Rd Hwy', 'CD International School', 'Sushant University', 'Park Hospital', 'Indira Gandhi Intl Airport', 'Basai Dhankot Railway Station']","This is 700 sq yds plot for sale on 24 mtr wide road in dlf alameda, sec-73 gurgaon
Gated community with 100% power back up.","[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]",[''],C69869360
Residential land / Plot in Sector 63 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-adani-brahma-samsara-vilasa-sector-63-gurgaon-267-sq-yard-spid-G69869078,Adani Brahma Samsara Vilasa,5.34 Crore,(223 sq.m.) Plot Area,"267 Sq Yds North Facing Plot, Sector 63 Gurgaon, Gurgaon, Haryana",,1,,"['Rapid Metro Station Sector 56', 'Paras Trinity Mall Sector 63', 'Golf Course Ext Rd', 'Mehrauli-Gurgaon Road', 'Nirvana Rd', 'Heritage Xperiential Learning School', 'KIIT College of Engineering Sohna Road', 'CK Birla Hospital', 'Indira Gandhi International Airport', 'AIPL Business Club Sector 62', 'DoubleTree by Hilton Hotel Gurgaon', 'De Adventure Park', 'TERI Golf Course']","This is 267 sq yds north and park facing plot in adani block-A, sec-65 gurgaon.
Gated community with 100% power back up.","[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]",[''],G69869078
Residential land / Plot in Sector-33 Sohna,https://www.99acres.com/residential-land-plot-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-299-sq-yard-spid-D69828940,Central Park Flower Valley,4.58 Crore,(250 sq.m.) Plot Area,"Sector-33 Sohna, Gurgaon, Haryana",,2,,"['Golf Course Extension Rd', 'Rajiv Chowk - Sohna Highway', 'KMP corridor', 'Marigold Secondary School', 'Alpine Convent School', 'The Millenium School', 'GD Goenka University', 'Medanta Hospital', 'Alpine Hospital', 'Pushpanjali Hospital', 'IGI Airport', 'Country Inn', 'Westin', 'Central Park Resorts', 'De Adventure Park']","Flower valleyFlower valley, a premium township where life speaks world class and lifestyle beyond compare. The township is based on the thought of spring season all year long with natural fauna. Here there are terra & aqua parks for your kids to enjoy till their heart's content and more. You will live scenic life everyday as the flora fountain offers mesmerizing views with surrounding greens. The organic farm produces the chemical free vegetables for the residents. The soothing ambiance of flower valley gives you the feel of spring throughout the year.A township of one of a kind, spread in 250 acres and beyond including 40+ world class amenities - Central park flower valley.","[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]",[''],D69828940
Residential land / Plot in Sector-33 Sohna,https://www.99acres.com/residential-land-plot-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-190-sq-yard-spid-Y69828866,Central Park Flower Valley,2.94 Crore,(159 sq.m.) Plot Area,"Sector-33 Sohna, Gurgaon, Haryana",,1,Immediate,"['Golf Course Extension Rd', 'Rajiv Chowk - Sohna Highway', 'KMP corridor', 'Marigold Secondary School', 'Alpine Convent School', 'The Millenium School', 'GD Goenka University', 'Medanta Hospital', 'Alpine Hospital', 'Pushpanjali Hospital', 'IGI Airport', 'Country Inn', 'Westin', 'Central Park Resorts', 'De Adventure Park']","Flower valleyFlower valley, a premium township where life speaks world class and lifestyle beyond compare. The township is based on the thought of spring season all year long with natural fauna. Here there are terra & aqua parks for your kids to enjoy till their heart's content and more. You will live scenic life everyday as the flora fountain offers mesmerizing views with surrounding greens. The organic farm produces the chemical free vegetables for the residents. The soothing ambiance of flower valley gives you the feel of spring throughout the year.A township of one of a kind, spread in 800 acres and beyond including 40+ world class amenities - Central park flower valley.","[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]",[''],Y69828866
Residential land / Plot in Sector 9A Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-9-a-gurgaon-500-sq-yard-spid-D69688682,,4.5 Crore,(418 sq.m.) Plot Area,"Sector 9A Gurgaon, Gurgaon, Haryana",,1,,"['Hanuman Mandir', 'Sharma Hospital Gurgaon', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Dr. Ajay S. Gupta Clinic', 'Aarvy Hospital', 'Rama Hospital & Nursing Home', 'Pasricha Hospital and Maternity Home', 'Gupta Hospital Gurgaon', 'Thakral Nursing and Maternity Home', 'Dr. Sandeep Chauhan', 'Nangia Hospital Ent and Maternity', 'Ahooja Eye and Dental Institute Hospital', 'Shubham Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Verma E.N.T. Hospital', 'Nova Care Clinic', 'Sethi Hospital Gurgaon', 'My Care Clinic', 'Tirath Ram Hospitals Pvt Ltd', 'M.S Hospital', 'Bindal Clinic', 'Vinayak Hospital Gurgaon', 'Dental Health Centre', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Lall Nursing and Maternity Home', 'Swastik Maternity and Medical Centre', 'Kharbanda Maternity and Nursing Home', 'Dentecare - Multispeciality Dental Clinic', 'Satyam Hospital Gurgaon', 'Parashar Hospital', 'Lalit Dental Care', 'M Goel Hospital', 'Kathuria Hospital', 'Chiranjiv Hospital', 'Kidney Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Lal Superspeciality Hospital', 'Dev Man Kathuria Clinic', 'Shri Gobind Hospital', 'Dr. Sarvejeet Singh', 'Ravi Clinic and Health Care Centre', 'Jackson Hospital', 'Dr. Madan Clinic', 'IBP Petrol Station', 'Indian Oil', 'Punjab national bank', 'govt sec school', 'Dronacharya Government College', 'District library gurgaon']","Sector 9a near dwarka express way 500 sq yards plot best location sector.9a connectivity hero honda chowk to near dwarka express way 
Rajpal properties sector 9a 
Nitin rajpal 
Contact",[['Water Storage']],"[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",D69688682
Residential land / Plot in Sector-33 Sohna,https://www.99acres.com/residential-land-plot-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-272-sq-yard-spid-V69606148,Central Park Flower Valley,3.94 Crore,(227 sq.m.) Plot Area,"432, Sector-33 Sohna, Gurgaon, Haryana",,1,Within 3 months,"['Golf Course Extension Rd', 'Rajiv Chowk - Sohna Highway', 'KMP corridor', 'Marigold Secondary School', 'Alpine Convent School', 'The Millenium School', 'GD Goenka University', 'Medanta Hospital', 'Alpine Hospital', 'Pushpanjali Hospital', 'IGI Airport', 'Country Inn', 'Westin', 'Central Park Resorts', 'De Adventure Park']",Plot for sale in central park flower valley plot size is 272s.Yd north facing cont for more details,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]",[''],V69606148
Residential land / Plot in Sector 43 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-43-gurgaon-161-sq-yard-spid-P69459220,,3.62 Crore,(135 sq.m.) Plot Area,"Sector 43 Gurgaon, Gurgaon, Haryana",,1,,"['Sector 42-43 metro station', 'Sector 53-54 metro station', 'Huda city centre metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Rbs ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Paras Hospital Gurgaon', 'Gupta', 'Arihant Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Marwah Clinic', 'Sitaram Bhartia', 'Guardian Pharmacy', 'Chikitsa', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'Sagar Ratna', 'Cafe Tonini', 'Shophouse by Kylin', ""Carl's Jr."", 'Starbucks', 'Balaji Vegetarian Paradise', 'PWO house', 'The Chicken Boat', 'Clock tower', 'Naveidyam', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Drunken Monkey', 'CCD', 'Belgian Waffle', 'Nowhere Brewpub and cafe', 'Fat', 'Stones2milestones', 'Ncr library', 'Bahrisons library']","To build a splendid residence, this plot in sector 43 gurgaon is the best fit for you. It spreads over 161 sq.Yards super built up area. Construction on this property can be easily done upto 4 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The type of ownership is freehold. The price of this massive plot is just  3.62 crore. Further negotiations can be done. This plot is facing the north direction. The plot location is close to metro station, close to school, close to hospital and close to mall.",[['Water Storage']],"[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']]",P69459220
Residential land / Plot in Sushant Lok Phase 1,https://www.99acres.com/residential-land-plot-for-sale-in-sushant-lok-phase-1-gurgaon-61-sq-yard-spid-E69380780,,1.25 Crore,(51 sq.m.) Plot Area,"Sushant Lok Phase 1, Gurgaon, Haryana",,1,,"['Huda city centre metro station', 'New Life Church', 'Hanuman Mandir', 'Hdfc bank ATM', 'Standard chartered ATM', 'Hdfc ATM', 'Rbs ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Citi bank ATM', 'Icici ATM', 'Axis bank ATM', 'Hdfc ATM', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Gupta', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Arihant Hospital', 'Paras Hospital Gurgaon', 'Sitaram Bhartia', 'Centre For Sight Gurgaon Sector 29', 'Guardian Pharmacy', 'Chikitsa', 'Gardian Pharmacy', 'City Medical', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'PWO house', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'Naveidyam', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Dighent cafe', 'Pizza Hut', 'Fat', 'Nowhere Brewpub and cafe', 'Stones2milestones', 'School of Inspired Leadership SOIL', 'Ncr library', 'Bahrisons library']",Best for rental income. Monthly rental income will be 1.5l after construction,"[['Water Storage', 'Rain Water Harvesting']]","[['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']]",E69380780
Residential land / Plot in Sector 23A Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-23-a-gurgaon-161-sq-yard-spid-D69222358,,2.3 Crore,(135 sq.m.) Plot Area,"Sector 23A Gurgaon, Gurgaon, Haryana",,2,,"['HUDA Sector 23 Market', 'Palam triangle', 'Palam Vihar Vyapar kendra', 'Ram Mandir', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', 'Kalyan Hospital Gurgaon', 'HUDA sector 23 parking', 'Ansals Plaza above ground car parking', 'Ansals plaza underground car parking', 'Punjab national bank', 'Axis bank', 'Oriental bank of commerce', 'Big Cinemas', 'Om Sweets', 'Pind Baluchi', 'Moti Mahal', ""Domino's Pizza"", 'Pizza Hut', 'Cafe Coffee Day', ""McDonald's"", 'THE NORTHCAP UNIVERSITY', 'Swiss Cottage school', 'Masti ki Pathshala Teach India', 'Chiranjiv Bharati School', 'Palam vihar railway station']","Best location for builder floor and kothi, corner plot , with beside park",[['Water Storage']],"[['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety5 out of 5']]",D69222358
Residential land / Plot in Sector 51 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-51-gurgaon-342-sq-yard-spid-E69123048,,7.8 Crore,(286 sq.m.) Plot Area,"Sector 51 Gurgaon, Gurgaon, Haryana",,1,Immediate,"['Radhakrishna Shani Mandir', 'Standard chartered ATM', 'Axis bank ATM', 'State bank of india ATM', 'Meher Clinic', 'Vatsalya Clinic', 'Bones Clinic - Orthopaedics', 'Sukhmani Hospital Pvt. Ltd', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Neelkanth Health Care', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Dispencery', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Skin Clinic', 'Divine Look Clinic Centre', 'Anand Hospital Gurgaon', 'Wembley estate club', 'Pernod Ricard Charitable Dispensary', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank', 'Hdfc bank', 'Hdfc bank and atm', '222', 'Madison and Pike', 'Haldiram', 'Raj Restaurant', 'India', 'Gurugram University', 'Amity Global School', 'Kamla International', 'Delhi Public School Primary Section', 'Manav Rachna School', 'St. Angels Sr', 'St. Angels Jr', 'School of Inspired Leadership SOIL', 'Manav Rachna Swimming Pool']",North facing main road suitable for commercial purpose,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]","[['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']]",E69123048
